n,mode,time,ratio
100,Hybrid_PD_Balanced,0.0015993149718269706,1.2203678913148868
100,Greedy_Baseline,0.0017991065979003906,1.4257748676846225
100,Hybrid_Full,0.008860406989697367,1.2795646142655375
100,Hybrid_NoLS,0.00911420996999368,1.3015628802009407
100,Hybrid_Trials20,0.014879128022585064,1.1512503122620943
100,Hybrid_LP_Skip,0.0018066790071316063,2.15810274499617
100,Hybrid_PD_Fast,0.0007058680057525635,1.300789377805266
100,Hybrid_PD_Balanced,0.0017444880213588476,1.2667682141581713
100,Greedy_Baseline,0.0030090808868408203,1.4813356453131066
100,Hybrid_Full,0.009762280038557947,1.3103969024511062
100,Hybrid_NoLS,0.011550844996236265,1.3003326465206964
100,Hybrid_Trials20,0.015902350016403943,1.2407896881840712
100,Hybrid_LP_Skip,0.002144100028090179,1.950008771645051
100,Hybrid_PD_Fast,0.0008373149903491139,1.90069898256278
100,Hybrid_PD_Balanced,0.0019397559808567166,1.4016322338176919
100,Greedy_Baseline,0.001960277557373047,1.3432361981731404
100,Hybrid_Full,0.008888772979844362,1.2540410065458978
100,Hybrid_NoLS,0.008775844995398074,1.2540410065458978
100,Hybrid_Trials20,0.01201988896355033,1.3307366935157787
100,Hybrid_LP_Skip,0.001991942001041025,1.6176388052075559
100,Hybrid_PD_Fast,0.0007862469647079706,1.6647246662164505
100,Hybrid_PD_Balanced,0.0018443819717504084,1.392538934494554
100,Greedy_Baseline,0.0018434524536132812,1.362478177909809
100,Hybrid_Full,0.00872946303570643,1.3072174024801442
100,Hybrid_NoLS,0.00967406202107668,1.3199757213079688
100,Hybrid_Trials20,0.012582898023538291,1.2777395227614352
100,Hybrid_LP_Skip,0.00259634101530537,1.8843996171254465
100,Hybrid_PD_Fast,0.0009935899870470166,1.4182574274590094
100,Hybrid_PD_Balanced,0.002039633982349187,1.426211458580896
150,Greedy_Baseline,0.0041081905364990234,1.452697744095012
150,Hybrid_Full,0.02097602200228721,1.500020682162326
150,Hybrid_NoLS,0.0180724979727529,1.4185465862724749
150,Hybrid_Trials20,0.028026757994666696,1.2815358369555854
150,Hybrid_LP_Skip,0.007247767993248999,2.1983072721261987
150,Hybrid_PD_Fast,0.0017555899685248733,1.5131883999604365
150,Hybrid_PD_Balanced,0.003352442989125848,1.5131883999604365
150,Greedy_Baseline,0.005175113677978516,1.39434393912369
150,Hybrid_Full,0.019580168998800218,1.3503596941614546
150,Hybrid_NoLS,0.019130042986944318,1.3808819692163512
150,Hybrid_Trials20,0.028103297983761877,1.426109154317126
150,Hybrid_LP_Skip,0.004671575967222452,1.9605858531859655
150,Hybrid_PD_Fast,0.0013795069535262883,1.6230885374637045
150,Hybrid_PD_Balanced,0.002729434985667467,1.299075540461408
150,Greedy_Baseline,0.003695964813232422,1.4970692238077332
150,Hybrid_Full,0.016896579007152468,1.6087195649568025
150,Hybrid_NoLS,0.020641246053855866,1.3526299744478536
150,Hybrid_Trials20,0.03454170603072271,1.4970692238077332
150,Hybrid_LP_Skip,0.005679448018781841,1.7440176660936912
150,Hybrid_PD_Fast,0.0016140220104716718,1.7607592031434212
150,Hybrid_PD_Balanced,0.003529683977831155,1.4616195807672514
150,Greedy_Baseline,0.003766775131225586,1.3626192434114328
150,Hybrid_Full,0.021438988973386586,1.5106704036840595
150,Hybrid_NoLS,0.023415168980136514,1.4045048972601721
150,Hybrid_Trials20,0.03458244097419083,1.4396890325065776
150,Hybrid_LP_Skip,0.005949914047960192,1.842187221958766
150,Hybrid_PD_Fast,0.001712680037599057,1.573145029726888
150,Hybrid_PD_Balanced,0.0033680780325084925,1.4814279540217434
150,Greedy_Baseline,0.004590511322021484,1.4016155292609174
150,Hybrid_Full,0.020256220013834536,1.4694767668974156
150,Hybrid_NoLS,0.017787827004212886,1.414972418143123
150,Hybrid_Trials20,0.02961348503595218,1.4080621170068985
150,Hybrid_LP_Skip,0.006365431996528059,1.966885610326456
150,Hybrid_PD_Fast,0.001393320970237255,1.6598526585669175
150,Hybrid_PD_Balanced,0.002703063015360385,1.5468250733448579
150,Greedy_Baseline,0.0035202503204345703,1.3870805930469552
150,Hybrid_Full,0.022979506989941,1.473300096315071
150,Hybrid_NoLS,0.021802940987981856,1.468913609231126
150,Hybrid_Trials20,0.029179107979871333,1.4133989388917947
150,Hybrid_LP_Skip,0.0048583599855192006,2.0511947081176034
150,Hybrid_PD_Fast,0.0012895299587398767,1.7876240000485402
150,Hybrid_PD_Balanced,0.003736371989361942,1.4433169849967658
150,Greedy_Baseline,0.003930330276489258,1.4686879214205604
150,Hybrid_Full,0.021079156023915857,1.2781178812558225
150,Hybrid_NoLS,0.019871649041306227,1.3402650684386725
150,Hybrid_Trials20,0.02715621399693191,1.1644323730586328
150,Hybrid_LP_Skip,0.005611822998616844,1.8389995359712623
150,Hybrid_PD_Fast,0.0013190399622544646,1.4146563671143524
150,Hybrid_PD_Balanced,0.002575262973550707,1.3949300517204046
150,Greedy_Baseline,0.003813505172729492,1.3747890313507758
150,Hybrid_Full,0.017921026039402932,1.4817865089160303
150,Hybrid_NoLS,0.020835283969063312,1.3747890313507758
150,Hybrid_Trials20,0.02933296700939536,1.3705261433424698
150,Hybrid_LP_Skip,0.004661204002331942,2.101572310013287
150,Hybrid_PD_Fast,0.001332935004029423,1.4647502641396235
150,Hybrid_PD_Balanced,0.003120640991255641,1.2934455599302055
150,Greedy_Baseline,0.0037555694580078125,1.3406474349647057
150,Hybrid_Full,0.017704894009511918,1.35748809979197
150,Hybrid_NoLS,0.0180349099682644,1.4310303166923728
150,Hybrid_Trials20,0.02326536097098142,1.395412475485002
150,Hybrid_LP_Skip,0.00513312395196408,2.030361720401117
150,Hybrid_PD_Fast,0.0014216819545254111,1.456354027917247
150,Hybrid_PD_Balanced,0.002925223030615598,1.456354027917247
150,Greedy_Baseline,0.004309892654418945,1.5982672659752903
150,Hybrid_Full,0.021090569032821804,1.588836225703645
150,Hybrid_NoLS,0.020213017996866256,1.4434981727845795
150,Hybrid_Trials20,0.03252901800442487,1.5804407291392522
150,Hybrid_LP_Skip,0.005769968032836914,1.763756707887569
150,Hybrid_PD_Fast,0.0013301739818416536,1.5524991261109673
150,Hybrid_PD_Balanced,0.003481024003122002,1.4391040949588407
200,Greedy_Baseline,0.008804559707641602,1.46444845005324
200,Hybrid_Full,0.037286765000317246,1.5398939848407178
200,Hybrid_NoLS,0.034896322002168745,1.656772845583723
200,Hybrid_Trials20,0.046794385998509824,1.537295973322738
200,Hybrid_LP_Skip,0.010004105977714062,1.8750045294546145
200,Hybrid_PD_Fast,0.002290150965563953,1.8405318462895368
200,Hybrid_PD_Balanced,0.004490063991397619,1.6157165883312725
200,Greedy_Baseline,0.007025241851806641,1.5442216896954644
200,Hybrid_Full,0.03803951200097799,1.5894848193462954
